sex,race,age,reincarcerated,state
Female,White,31.6,FALSE,Iowa
Male,White,31,TRUE,Iowa
Male,White,27.6,FALSE,Iowa
Male,White,27.7,FALSE,Iowa
Male,White,18.9,FALSE,Iowa
Male,Hispanic,24,FALSE,Iowa
Male,White,53.7,FALSE,Iowa
Male,White,29.6,FALSE,Iowa
Male,White,28,FALSE,Iowa
Female,White,39.5,FALSE,Iowa
Female,White,39,FALSE,Iowa
Male,Asian or Pacific Islander,25,FALSE,Iowa
Male,Black,49.3,FALSE,Iowa
Male,White,36.8,FALSE,Iowa
Male,Hispanic,21.3,FALSE,Iowa
Female,Hispanic,30.6,FALSE,Iowa
Male,White,25.7,TRUE,Iowa
Male,Other,21.9,FALSE,Iowa
Female,White,44.9,FALSE,Iowa
Female,White,32.8,FALSE,Iowa
Male,White,21.5,FALSE,Iowa
Male,White,23.2,FALSE,Iowa
Male,White,58.6,FALSE,Iowa
Male,White,22.2,FALSE,Iowa
Male,White,22.5,FALSE,Iowa
Male,Black,25.9,FALSE,Iowa
Female,White,28.2,FALSE,Iowa
Male,White,20.2,FALSE,Iowa
Male,White,21.9,FALSE,Iowa
Male,White,20.6,FALSE,Iowa
Male,Black,25.7,FALSE,Iowa
Male,White,17.9,FALSE,Iowa
Male,White,27.7,FALSE,Iowa
Male,White,24.6,FALSE,Iowa
Male,White,31.8,TRUE,Iowa
Male,White,20.7,TRUE,Iowa
Male,Black,33.5,FALSE,Iowa
Female,White,45.1,FALSE,Iowa
Male,Black,18,FALSE,Iowa
Male,White,27.6,FALSE,Iowa
Female,White,50.7,FALSE,Iowa
Male,Black,20.1,FALSE,Iowa
Male,White,37.4,FALSE,Iowa
Male,White,24.4,FALSE,Iowa
Male,White,43.1,FALSE,Iowa
Female,White,40.6,FALSE,Iowa
Male,White,34.7,FALSE,Iowa
Male,White,28.3,FALSE,Iowa
Female,White,38.8,FALSE,Iowa
Male,White,40.8,FALSE,Iowa
Male,White,29.1,FALSE,Iowa
Female,White,31.2,FALSE,Iowa
Male,Hispanic,29.5,FALSE,Iowa
Male,White,22.4,FALSE,Iowa
Male,Black,21.4,FALSE,Iowa
Female,White,34.8,TRUE,Iowa
Male,White,62.1,FALSE,Iowa
Male,White,20.2,FALSE,Iowa
Female,White,36.6,FALSE,Iowa
Male,White,20.2,FALSE,Iowa
Female,White,44,FALSE,Iowa
Male,Black,26.5,TRUE,Iowa
Female,White,57.8,FALSE,Iowa
Male,White,52.5,FALSE,Iowa
Male,White,68.3,TRUE,Iowa
Male,White,53,FALSE,Iowa
Male,White,43.6,FALSE,Iowa
Male,Black,39.6,FALSE,Iowa
